,N_p,N_t,sigma_b,sigma_w,mu,seeds,QUID,OANOVA
345,30,100,15,1000,0,45,22087378.07,1.47E-12
346,30,100,15,1000,0,46,0.010396106,0.999208434
347,30,100,15,1000,0,47,0.296184972,0.079448
348,30,100,15,1000,0,48,0.013047731,0.986143347
349,30,100,15,1000,0,49,0.222227108,0.010543484
350,30,100,15,1000,0,50,0.005525426,0.999905336
351,30,100,15,1000,0,51,0.010139377,0.982662218
352,30,100,15,1000,0,52,3.69E+16,0
353,30,100,15,1000,0,53,0.055489952,0.768480361
354,30,100,15,1000,0,54,0.006169815,0.997376649
355,30,100,15,1000,0,55,0.025354051,0.399407558
356,30,100,15,1000,0,56,510.8485779,2.44E-07
357,30,100,15,1000,0,57,80349563.99,6.89E-10
358,30,100,15,1000,0,58,1.50E+21,0
359,30,100,15,1000,0,59,0.01406675,0.98101612
360,30,100,15,1000,0,60,0.01741026,0.941507235
361,30,100,15,1000,0,61,0.007279168,0.984749207
362,30,100,15,1000,0,62,0.037702318,0.608967762
363,30,100,15,1000,0,63,615.3554192,1.83E-07
364,30,100,15,1000,0,64,70528328976,1.11E-16
365,30,100,15,1000,0,65,0.155494489,0.119775214
366,30,100,15,1000,0,66,0.006153399,0.999741524
367,30,100,15,1000,0,67,0.354263811,0.090172666
368,30,100,15,1000,0,68,0.010176539,0.998297929
369,30,100,15,1000,0,69,0.009668649,0.992791753
370,30,100,15,1000,0,70,0.004979202,0.999996517
371,30,100,15,1000,0,71,5.172989238,0.006730257
372,30,100,15,1000,0,72,0.154939532,0.019101144
373,30,100,15,1000,0,73,0.075665761,0.062826483
374,30,100,15,1000,0,74,0.011190427,0.988061824
375,30,100,15,1000,0,75,4.361185311,0.000211037
376,30,100,15,1000,0,76,0.0424497,0.416307501
377,30,100,15,1000,0,77,0.011009724,0.94271926
378,30,100,15,1000,0,78,0.018654492,0.966592651
379,30,100,15,1000,0,79,0.013177166,0.995938646
380,30,100,15,1000,0,80,407.8641424,0.000186507
381,30,100,15,1000,0,81,5499115.447,1.86E-08
382,30,100,15,1000,0,82,0.007106539,0.999193119
383,30,100,15,1000,0,83,0.011329088,0.882297537
384,30,100,15,1000,0,84,11558273.54,3.93E-12
385,30,100,15,1000,0,85,0.262383174,0.143486333
386,30,100,15,1000,0,86,2286731134,4.75E-11
387,30,100,15,1000,0,87,0.008443788,0.998756775
388,30,100,15,1000,0,88,0.014749076,0.844839269
389,30,100,15,1000,0,89,0.007174144,0.997989651
390,30,100,15,1000,0,90,0.01414021,0.671720819
391,30,100,15,1000,0,91,0.02700068,0.662124156
392,30,100,15,1000,0,92,135.6655177,2.10E-06
393,30,100,15,1000,0,93,0.377386774,0.159520616
394,30,100,15,1000,0,94,0.008126018,0.997538397
395,30,100,15,1000,0,95,66.36861989,0.000565272
396,30,100,15,1000,0,96,0.009763917,0.929622211
397,30,100,15,1000,0,97,26.68726891,0.001227532
398,30,100,15,1000,0,98,0.025137646,0.628067354
399,30,100,15,1000,0,99,0.006491941,0.999793965
400,30,100,15,1000,0,100,1.27E+37,0
