"","idv","iv","iv2","exp","dv"
"454",2,2,2,"Stein & van Peelen_2020_3_1",2
"455",2,1,1,"Stein & van Peelen_2020_3_1",2
"456",2,1,1,"Stein & van Peelen_2020_3_2",2
"457",2,2,2,"Stein & van Peelen_2020_3_1",2
"458",2,2,2,"Stein & van Peelen_2020_3_2",2
"459",2,2,2,"Stein & van Peelen_2020_3_1",2
"460",2,1,1,"Stein & van Peelen_2020_3_1",2
"461",2,1,1,"Stein & van Peelen_2020_3_2",1
"462",2,2,2,"Stein & van Peelen_2020_3_2",2
"463",2,1,1,"Stein & van Peelen_2020_3_1",2
"464",2,1,1,"Stein & van Peelen_2020_3_1",2
"465",2,2,1,"Stein & van Peelen_2020_3_2",2
"466",2,1,2,"Stein & van Peelen_2020_3_2",2
"467",2,2,2,"Stein & van Peelen_2020_3_2",2
"468",2,1,1,"Stein & van Peelen_2020_3_2",2
"469",2,1,1,"Stein & van Peelen_2020_3_1",1
"470",2,1,2,"Stein & van Peelen_2020_3_2",2
"471",2,1,1,"Stein & van Peelen_2020_3_2",1
"472",2,2,1,"Stein & van Peelen_2020_3_2",2
"473",2,1,1,"Stein & van Peelen_2020_3_2",1
"474",2,1,1,"Stein & van Peelen_2020_3_1",1
"475",2,2,1,"Stein & van Peelen_2020_3_2",1
"476",2,1,2,"Stein & van Peelen_2020_3_2",1
"477",2,2,2,"Stein & van Peelen_2020_3_2",1
"478",2,2,2,"Stein & van Peelen_2020_3_2",1
