idv,iv,dv,exp
202,1,1.291638489,Biderman & Mudrik_2018_3
202,1,0.832282552,Biderman & Mudrik_2018_3
202,2,0.840882006,Biderman & Mudrik_2018_3
202,1,0.656751668,Biderman & Mudrik_2018_3
202,1,0.981128982,Biderman & Mudrik_2018_3
202,2,1.202299441,Biderman & Mudrik_2018_3
202,1,1.177419382,Biderman & Mudrik_2018_3
202,2,1.049756696,Biderman & Mudrik_2018_3
202,2,1.180591969,Biderman & Mudrik_2018_3
202,1,0.72579078,Biderman & Mudrik_2018_3
202,2,0.614818671,Biderman & Mudrik_2018_3
202,1,0.592031242,Biderman & Mudrik_2018_3
202,2,0.648149648,Biderman & Mudrik_2018_3
202,1,0.737072451,Biderman & Mudrik_2018_3
202,2,0.643036104,Biderman & Mudrik_2018_3
202,1,1.101437528,Biderman & Mudrik_2018_3
202,2,0.647739675,Biderman & Mudrik_2018_3
202,1,0.740141546,Biderman & Mudrik_2018_3
202,2,0.975230845,Biderman & Mudrik_2018_3
202,2,0.734423307,Biderman & Mudrik_2018_3
202,1,0.971423912,Biderman & Mudrik_2018_3
202,2,0.567947466,Biderman & Mudrik_2018_3
202,2,0.918168476,Biderman & Mudrik_2018_3
202,1,1.269934153,Biderman & Mudrik_2018_3
202,2,1.394423968,Biderman & Mudrik_2018_3
202,2,0.81024636,Biderman & Mudrik_2018_3
202,2,0.599732634,Biderman & Mudrik_2018_3
202,1,1.227454621,Biderman & Mudrik_2018_3
202,1,1.152967543,Biderman & Mudrik_2018_3
202,2,0.963313973,Biderman & Mudrik_2018_3
204,1,2.10444674,Biderman & Mudrik_2018_3
204,1,2.121444891,Biderman & Mudrik_2018_3
204,2,2.613203545,Biderman & Mudrik_2018_3
204,1,2.534612115,Biderman & Mudrik_2018_3
204,1,2.172526869,Biderman & Mudrik_2018_3
204,2,2.701917973,Biderman & Mudrik_2018_3
204,2,1.770657534,Biderman & Mudrik_2018_3
204,2,3.282304099,Biderman & Mudrik_2018_3
204,1,2.435039991,Biderman & Mudrik_2018_3
204,2,1.270645275,Biderman & Mudrik_2018_3
204,1,2.521567712,Biderman & Mudrik_2018_3
204,2,1.17599709,Biderman & Mudrik_2018_3
204,2,2.321248002,Biderman & Mudrik_2018_3
204,2,1.713854482,Biderman & Mudrik_2018_3
204,2,1.70377539,Biderman & Mudrik_2018_3
204,2,1.244274222,Biderman & Mudrik_2018_3
204,2,2.035801546,Biderman & Mudrik_2018_3
204,2,1.394051645,Biderman & Mudrik_2018_3
204,1,1.473152832,Biderman & Mudrik_2018_3
204,2,1.636007159,Biderman & Mudrik_2018_3
204,2,2.494456257,Biderman & Mudrik_2018_3
204,1,2.712098845,Biderman & Mudrik_2018_3
204,1,1.568283404,Biderman & Mudrik_2018_3
204,1,1.818675557,Biderman & Mudrik_2018_3
204,2,1.291145293,Biderman & Mudrik_2018_3
204,1,1.956739988,Biderman & Mudrik_2018_3
204,2,2.129338702,Biderman & Mudrik_2018_3
204,1,1.714710634,Biderman & Mudrik_2018_3
204,1,1.174492054,Biderman & Mudrik_2018_3
204,1,1.007226965,Biderman & Mudrik_2018_3
204,2,1.026395002,Biderman & Mudrik_2018_3
204,1,1.155696641,Biderman & Mudrik_2018_3
204,2,1.344613831,Biderman & Mudrik_2018_3
204,1,1.167756884,Biderman & Mudrik_2018_3
204,2,1.112942395,Biderman & Mudrik_2018_3
204,2,2.104813377,Biderman & Mudrik_2018_3
204,1,2.991061588,Biderman & Mudrik_2018_3
204,1,1.800790179,Biderman & Mudrik_2018_3
204,2,1.100647231,Biderman & Mudrik_2018_3
204,1,1.891127103,Biderman & Mudrik_2018_3
204,2,1.272770971,Biderman & Mudrik_2018_3
204,2,2.253265662,Biderman & Mudrik_2018_3
204,2,1.856491896,Biderman & Mudrik_2018_3
204,2,1.188071872,Biderman & Mudrik_2018_3
204,1,1.729746165,Biderman & Mudrik_2018_3
204,2,1.017704055,Biderman & Mudrik_2018_3
204,2,1.878366944,Biderman & Mudrik_2018_3
204,2,1.020700727,Biderman & Mudrik_2018_3
204,2,1.833675452,Biderman & Mudrik_2018_3
204,1,1.20204085,Biderman & Mudrik_2018_3
204,2,0.867680021,Biderman & Mudrik_2018_3
204,2,1.330470088,Biderman & Mudrik_2018_3
204,2,1.576678989,Biderman & Mudrik_2018_3
204,1,1.475306182,Biderman & Mudrik_2018_3
204,2,0.885473312,Biderman & Mudrik_2018_3
204,1,1.284407271,Biderman & Mudrik_2018_3
204,1,1.176552462,Biderman & Mudrik_2018_3
204,2,1.302393859,Biderman & Mudrik_2018_3
204,1,1.195734753,Biderman & Mudrik_2018_3
204,2,1.198898778,Biderman & Mudrik_2018_3
204,2,1.326977915,Biderman & Mudrik_2018_3
204,2,1.295092198,Biderman & Mudrik_2018_3
204,2,1.47418945,Biderman & Mudrik_2018_3
204,1,1.428576234,Biderman & Mudrik_2018_3
204,2,1.041392901,Biderman & Mudrik_2018_3
204,2,1.171672714,Biderman & Mudrik_2018_3
204,2,1.009634053,Biderman & Mudrik_2018_3
204,1,0.92376662,Biderman & Mudrik_2018_3
204,1,1.046757317,Biderman & Mudrik_2018_3
204,2,1.295279508,Biderman & Mudrik_2018_3
204,1,1.12031305,Biderman & Mudrik_2018_3
204,1,0.905317032,Biderman & Mudrik_2018_3
204,1,1.362519166,Biderman & Mudrik_2018_3
204,1,1.128012423,Biderman & Mudrik_2018_3
204,1,1.049740019,Biderman & Mudrik_2018_3
204,2,0.931759076,Biderman & Mudrik_2018_3
204,1,0.928773238,Biderman & Mudrik_2018_3
204,2,0.656500049,Biderman & Mudrik_2018_3
204,1,0.933495326,Biderman & Mudrik_2018_3
204,1,0.876697976,Biderman & Mudrik_2018_3
204,1,2.378488681,Biderman & Mudrik_2018_3
204,1,1.089654968,Biderman & Mudrik_2018_3
204,2,0.995508556,Biderman & Mudrik_2018_3
204,1,1.158311566,Biderman & Mudrik_2018_3
204,2,1.386978918,Biderman & Mudrik_2018_3
204,1,1.27336198,Biderman & Mudrik_2018_3
204,1,1.122446728,Biderman & Mudrik_2018_3
204,1,1.165586428,Biderman & Mudrik_2018_3
204,1,1.37897848,Biderman & Mudrik_2018_3
204,1,1.456562657,Biderman & Mudrik_2018_3
204,2,1.330179002,Biderman & Mudrik_2018_3
204,1,2.039247534,Biderman & Mudrik_2018_3
204,1,1.215167647,Biderman & Mudrik_2018_3
204,2,0.967574877,Biderman & Mudrik_2018_3
204,1,1.153350565,Biderman & Mudrik_2018_3
204,1,1.84251522,Biderman & Mudrik_2018_3
