"","idv","iv","iv2","dv","exp"
"355",504,"DegradedProc",1,1502,"Yap_etal_2008"
"356",504,"DegradedProc",1,1554,"Yap_etal_2008"
"357",504,"CleanProc",1,1636,"Yap_etal_2008"
"358",504,"DegradedProc",1,1706,"Yap_etal_2008"
"359",504,"DegradedProc",1,1858,"Yap_etal_2008"
"360",504,"DegradedProc",1,1871,"Yap_etal_2008"
"361",505,"CleanProc",1,445,"Yap_etal_2008"
"362",505,"CleanProc",1,456,"Yap_etal_2008"
"363",505,"DegradedProc",1,460,"Yap_etal_2008"
"364",505,"DegradedProc",1,464,"Yap_etal_2008"
"365",505,"CleanProc",1,473,"Yap_etal_2008"
"366",505,"CleanProc",1,475,"Yap_etal_2008"
"367",505,"CleanProc",1,483,"Yap_etal_2008"
"368",505,"CleanProc",1,483,"Yap_etal_2008"
"369",505,"DegradedProc",1,485,"Yap_etal_2008"
"370",505,"CleanProc",1,495,"Yap_etal_2008"
"371",505,"CleanProc",1,496,"Yap_etal_2008"
"372",505,"CleanProc",1,496,"Yap_etal_2008"
"373",505,"CleanProc",1,497,"Yap_etal_2008"
"374",505,"CleanProc",1,505,"Yap_etal_2008"
"375",505,"DegradedProc",1,505,"Yap_etal_2008"
"376",505,"CleanProc",1,510,"Yap_etal_2008"
"377",505,"CleanProc",1,512,"Yap_etal_2008"
"378",505,"DegradedProc",1,512,"Yap_etal_2008"
"379",505,"CleanProc",1,513,"Yap_etal_2008"
"380",505,"CleanProc",1,519,"Yap_etal_2008"
"381",505,"DegradedProc",1,523,"Yap_etal_2008"
"382",505,"DegradedProc",1,523,"Yap_etal_2008"
"383",505,"CleanProc",1,537,"Yap_etal_2008"
"384",505,"CleanProc",1,544,"Yap_etal_2008"
"385",505,"CleanProc",1,550,"Yap_etal_2008"
"386",505,"DegradedProc",1,556,"Yap_etal_2008"
"387",505,"CleanProc",1,560,"Yap_etal_2008"
"388",505,"DegradedProc",1,563,"Yap_etal_2008"
"389",505,"DegradedProc",1,565,"Yap_etal_2008"
"390",505,"DegradedProc",1,566,"Yap_etal_2008"
"391",505,"CleanProc",1,567,"Yap_etal_2008"
"392",505,"CleanProc",1,571,"Yap_etal_2008"
"393",505,"CleanProc",1,576,"Yap_etal_2008"
"394",505,"CleanProc",1,579,"Yap_etal_2008"
"395",505,"CleanProc",1,580,"Yap_etal_2008"
"396",505,"CleanProc",1,584,"Yap_etal_2008"
"397",505,"DegradedProc",1,586,"Yap_etal_2008"
"398",505,"CleanProc",1,593,"Yap_etal_2008"
"399",505,"CleanProc",1,594,"Yap_etal_2008"
"400",505,"CleanProc",1,597,"Yap_etal_2008"
"401",505,"CleanProc",1,601,"Yap_etal_2008"
"402",505,"CleanProc",1,601,"Yap_etal_2008"
"403",505,"DegradedProc",1,603,"Yap_etal_2008"
"404",505,"CleanProc",1,607,"Yap_etal_2008"
"405",505,"CleanProc",1,613,"Yap_etal_2008"
"406",505,"CleanProc",1,620,"Yap_etal_2008"
"407",505,"CleanProc",1,622,"Yap_etal_2008"
"408",505,"CleanProc",1,631,"Yap_etal_2008"
"409",505,"CleanProc",1,631,"Yap_etal_2008"
"410",505,"DegradedProc",1,634,"Yap_etal_2008"
"411",505,"CleanProc",1,638,"Yap_etal_2008"
"412",505,"DegradedProc",1,638,"Yap_etal_2008"
"413",505,"DegradedProc",1,640,"Yap_etal_2008"
"414",505,"CleanProc",1,642,"Yap_etal_2008"
"415",505,"DegradedProc",1,651,"Yap_etal_2008"
"416",505,"CleanProc",1,654,"Yap_etal_2008"
"417",505,"DegradedProc",1,656,"Yap_etal_2008"
"418",505,"CleanProc",1,660,"Yap_etal_2008"
"419",505,"CleanProc",1,668,"Yap_etal_2008"
"420",505,"DegradedProc",1,668,"Yap_etal_2008"
"421",505,"CleanProc",1,671,"Yap_etal_2008"
"422",505,"DegradedProc",1,689,"Yap_etal_2008"
"423",505,"DegradedProc",1,693,"Yap_etal_2008"
"424",505,"DegradedProc",1,695,"Yap_etal_2008"
"425",505,"CleanProc",1,707,"Yap_etal_2008"
"426",505,"CleanProc",1,712,"Yap_etal_2008"
"427",505,"DegradedProc",1,721,"Yap_etal_2008"
"428",505,"DegradedProc",1,724,"Yap_etal_2008"
"429",505,"DegradedProc",1,725,"Yap_etal_2008"
"430",505,"CleanProc",1,735,"Yap_etal_2008"
"431",505,"DegradedProc",1,743,"Yap_etal_2008"
"432",505,"DegradedProc",1,743,"Yap_etal_2008"
"433",505,"DegradedProc",1,776,"Yap_etal_2008"
"434",505,"DegradedProc",1,781,"Yap_etal_2008"
"435",505,"DegradedProc",1,798,"Yap_etal_2008"
"436",505,"DegradedProc",1,805,"Yap_etal_2008"
"437",505,"DegradedProc",1,808,"Yap_etal_2008"
"438",505,"DegradedProc",1,813,"Yap_etal_2008"
"439",505,"DegradedProc",1,832,"Yap_etal_2008"
"440",505,"DegradedProc",1,834,"Yap_etal_2008"
"441",505,"DegradedProc",1,887,"Yap_etal_2008"
"442",505,"DegradedProc",1,891,"Yap_etal_2008"
"443",505,"CleanProc",1,1066,"Yap_etal_2008"
"444",505,"DegradedProc",1,1112,"Yap_etal_2008"
"445",505,"DegradedProc",1,1134,"Yap_etal_2008"
"446",505,"DegradedProc",1,1138,"Yap_etal_2008"
"447",505,"DegradedProc",1,1382,"Yap_etal_2008"
"448",506,"DegradedProc",1,448,"Yap_etal_2008"
"449",506,"DegradedProc",1,516,"Yap_etal_2008"
"450",506,"DegradedProc",1,517,"Yap_etal_2008"
"451",506,"DegradedProc",1,521,"Yap_etal_2008"
"452",506,"DegradedProc",1,542,"Yap_etal_2008"
"453",506,"DegradedProc",1,547,"Yap_etal_2008"
"454",506,"CleanProc",1,613,"Yap_etal_2008"
"455",506,"CleanProc",1,614,"Yap_etal_2008"
"456",506,"DegradedProc",1,616,"Yap_etal_2008"
"457",506,"DegradedProc",1,635,"Yap_etal_2008"
"458",506,"DegradedProc",1,646,"Yap_etal_2008"
"459",506,"DegradedProc",1,663,"Yap_etal_2008"
"460",506,"DegradedProc",1,712,"Yap_etal_2008"
"461",506,"DegradedProc",1,766,"Yap_etal_2008"
"462",506,"DegradedProc",1,797,"Yap_etal_2008"
"463",506,"DegradedProc",1,810,"Yap_etal_2008"
"464",506,"DegradedProc",1,843,"Yap_etal_2008"
"465",506,"DegradedProc",1,892,"Yap_etal_2008"
"466",506,"CleanProc",1,915,"Yap_etal_2008"
"467",506,"CleanProc",1,937,"Yap_etal_2008"
"468",506,"DegradedProc",1,1001,"Yap_etal_2008"
"469",506,"DegradedProc",1,1026,"Yap_etal_2008"
"470",506,"CleanProc",1,1036,"Yap_etal_2008"
"471",506,"DegradedProc",1,1146,"Yap_etal_2008"
"472",506,"CleanProc",1,1147,"Yap_etal_2008"
"473",506,"DegradedProc",1,1155,"Yap_etal_2008"
"474",506,"DegradedProc",1,1196,"Yap_etal_2008"
"475",506,"DegradedProc",1,1206,"Yap_etal_2008"
"476",506,"DegradedProc",1,1251,"Yap_etal_2008"
"477",506,"DegradedProc",1,1258,"Yap_etal_2008"
"478",506,"CleanProc",1,1344,"Yap_etal_2008"
"479",506,"CleanProc",1,1373,"Yap_etal_2008"
"480",506,"DegradedProc",1,1389,"Yap_etal_2008"
