S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
29E   	10   	9   	  50 	below 	red 	red 	Good 	0.555 	0.100 	9.118 	
29E   	10   	10   	  650 	above 	red 	green 	Good 	0.401 	0.097 	10.882 	
29E   	10   	11   	  650 	below 	red 	green 	Good 	0.471 	0.094 	10.588 	
29E   	10   	12   	  50 	above 	red 	red 	Good 	0.476 	0.086 	7.941 	
29E   	10   	13   	  350 	above 	green 	red 	Good 	0.325 	0.073 	7.941 	
29E   	10   	14   	  50 	below 	green 	red 	Good 	0.828 	0.139 	13.676 	
29E   	10   	15   	  650 	below 	green 	green 	Good 	0.251 	0.078 	11.176 	
29E   	10   	16   	  50 	above 	red 	green 	Good 	0.562 	0.091 	12.647 	
29E   	10   	17   	  50 	above 	green 	green 	Good 	0.449 	0.082 	11.176 	
29E   	10   	18   	  950 	above 	green 	green 	Good 	0.316 	0.086 	10.441 	
29E   	10   	19   	  350 	below 	red 	red 	Good 	0.325 	0.075 	7.794 	
29E   	10   	20   	  950 	below 	green 	green 	Good 	0.386 	0.099 	11.618 	
29E   	10   	22   	  350 	below 	green 	green 	Good 	0.361 	0.092 	10.588 	
29E   	10   	23   	  650 	below 	red 	red 	Good 	0.330 	0.078 	8.971 	
29E   	10   	24   	  350 	above 	green 	green 	Good 	0.389 	0.103 	12.059 	
29E   	10   	25   	  950 	above 	red 	red 	Good 	0.370 	0.074 	6.912 	
29E   	10   	26   	  50 	below 	green 	green 	Good 	0.443 	0.098 	11.029 	
29E   	10   	27   	  350 	above 	red 	green 	Good 	0.320 	0.094 	12.206 	
29E   	10   	28   	  650 	above 	green 	red 	Good 	0.354 	0.105 	9.412 	
29E   	10   	29   	  950 	below 	green 	red 	Good 	0.282 	0.070 	7.353 	
29E   	10   	30   	  950 	above 	red 	green 	Good 	0.341 	0.091 	10.588 	
29E   	10   	32   	  350 	below 	green 	red 	Good 	0.522 	0.076 	8.971 	
29E   	11   	1   	  950 	above 	red 	red 	Good 	0.472 	0.185 	14.412 	
29E   	11   	2   	  650 	above 	green 	green 	Good 	0.292 	0.116 	13.088 	
29E   	11   	4   	  50 	above 	red 	red 	Good 	0.421 	0.063 	6.765 	
29E   	11   	5   	  650 	above 	red 	red 	Good 	0.359 	0.075 	7.647 	
29E   	11   	6   	  650 	below 	green 	red 	Good 	0.316 	0.136 	8.971 	
29E   	11   	7   	  950 	below 	red 	red 	Good 	0.401 	0.068 	7.647 	
29E   	11   	8   	  50 	above 	red 	green 	Good 	0.403 	0.087 	11.029 	
29E   	11   	9   	  50 	above 	green 	red 	Good 	0.474 	0.077 	8.235 	
29E   	11   	10   	  350 	below 	red 	red 	Good 	0.322 	0.091 	8.235 	
29E   	11   	11   	  350 	above 	green 	green 	Good 	0.379 	0.093 	11.471 	
29E   	11   	12   	  650 	below 	green 	green 	Good 	0.455 	0.095 	11.618 	
29E   	11   	13   	  50 	below 	green 	green 	Good 	0.368 	0.101 	12.059 	
29E   	11   	14   	  650 	below 	red 	red 	Good 	0.382 	0.065 	8.676 	
29E   	11   	15   	  350 	above 	red 	green 	Good 	0.390 	0.097 	12.206 	
29E   	11   	16   	  350 	below 	green 	red 	Good 	0.436 	0.073 	7.059 	
29E   	11   	17   	  50 	above 	green 	green 	Good 	0.432 	0.092 	11.471 	
29E   	11   	18   	  50 	below 	green 	red 	Good 	0.388 	0.068 	7.059 	
29E   	11   	19   	  350 	above 	green 	red 	Good 	0.499 	0.068 	7.206 	
29E   	11   	20   	  950 	above 	green 	green 	Good 	0.304 	0.092 	12.206 	
29E   	11   	21   	  950 	below 	red 	green 	Good 	0.381 	0.089 	11.029 	
29E   	11   	22   	  350 	below 	green 	green 	Good 	0.383 	0.089 	10.882 	
29E   	11   	23   	  650 	below 	red 	green 	Good 	0.393 	0.103 	11.029 	
29E   	11   	24   	  350 	below 	red 	green 	Good 	0.395 	0.101 	10.882 	
29E   	11   	25   	  650 	above 	red 	green 	Good 	0.330 	0.095 	11.618 	
29E   	11   	26   	  50 	below 	red 	red 	Good 	0.414 	0.068 	8.676 	
29E   	11   	27   	  950 	below 	green 	red 	Good 	0.302 	0.081 	7.941 	
29E   	11   	28   	  350 	above 	red 	red 	Good 	0.397 	0.095 	8.382 	
29E   	11   	29   	  950 	above 	red 	green 	Good 	0.407 	0.101 	12.353 	
29E   	11   	31   	  50 	below 	red 	green 	Good 	0.592 	0.097 	13.676 	
29E   	11   	32   	  950 	below 	green 	green 	Good 	0.364 	0.096 	14.118 	
