S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
34e   	10   	28   	  50 	below 	green 	green 	Good 	0.606 	0.116 	9.265 	
34e   	10   	29   	  650 	above 	red 	red 	Good 	0.327 	0.078 	10.588 	
34e   	10   	30   	  650 	above 	green 	green 	Good 	0.505 	0.117 	11.176 	
34e   	10   	31   	  350 	below 	green 	red 	Good 	0.423 	0.076 	10.735 	
34e   	10   	32   	  650 	below 	green 	green 	Good 	0.458 	0.113 	8.382 	
34e   	11   	1   	  50 	below 	red 	green 	Good 	1.009 	0.105 	6.176 	
34e   	11   	2   	  50 	above 	red 	red 	Good 	0.687 	0.075 	9.559 	
34e   	11   	4   	  650 	below 	red 	green 	Good 	0.448 	0.122 	9.412 	
34e   	11   	5   	  50 	above 	red 	green 	Good 	0.619 	0.126 	12.794 	
34e   	11   	6   	  950 	above 	green 	red 	Good 	0.332 	0.082 	7.647 	
34e   	11   	7   	  950 	below 	green 	green 	Good 	0.392 	0.126 	11.029 	
34e   	11   	8   	  350 	below 	red 	red 	Good 	0.365 	0.078 	7.941 	
34e   	11   	9   	  650 	below 	green 	red 	Good 	0.345 	0.075 	7.500 	
34e   	11   	10   	  950 	above 	red 	green 	Good 	0.333 	0.124 	9.853 	
34e   	11   	11   	  950 	below 	green 	red 	Good 	0.362 	0.085 	7.794 	
34e   	11   	12   	  950 	above 	red 	red 	Good 	0.342 	0.072 	7.941 	
34e   	11   	14   	  50 	below 	green 	red 	Good 	0.577 	0.079 	8.529 	
34e   	11   	15   	  650 	above 	green 	green 	Good 	0.322 	0.133 	11.324 	
34e   	11   	16   	  650 	above 	red 	green 	Good 	0.375 	0.144 	9.118 	
34e   	11   	17   	  950 	below 	red 	green 	Good 	0.510 	0.140 	10.000 	
34e   	11   	18   	  50 	below 	red 	red 	Good 	0.640 	0.081 	8.971 	
34e   	11   	19   	  650 	above 	green 	red 	Good 	0.326 	0.085 	9.706 	
34e   	11   	20   	  50 	above 	green 	green 	Good 	0.429 	0.121 	8.529 	
34e   	11   	21   	  50 	below 	green 	green 	Good 	0.518 	0.104 	8.382 	
34e   	11   	22   	  350 	below 	green 	green 	Good 	0.400 	0.142 	9.853 	
34e   	11   	23   	  650 	above 	red 	red 	Good 	0.282 	0.092 	12.206 	
34e   	11   	24   	  50 	above 	green 	red 	Good 	0.577 	0.082 	11.029 	
34e   	11   	25   	  350 	above 	red 	green 	Good 	0.420 	0.132 	7.500 	
34e   	11   	26   	  350 	above 	red 	red 	Good 	0.399 	0.091 	11.176 	
34e   	11   	27   	  950 	above 	green 	green 	Good 	0.321 	0.115 	8.676 	
34e   	11   	28   	  950 	below 	red 	red 	Good 	0.325 	0.089 	9.853 	
34e   	11   	29   	  650 	below 	red 	red 	Good 	0.477 	0.082 	8.382 	
34e   	11   	30   	  350 	below 	red 	green 	Good 	0.374 	0.110 	8.235 	
34e   	11   	31   	  350 	below 	green 	red 	Good 	0.358 	0.089 	10.441 	
34e   	11   	32   	  350 	above 	green 	red 	Good 	0.369 	0.082 	9.706 	
