"","exp","non_directional.p","non_directional.statistic","non_directional.consistency_per_id.idv","non_directional.consistency_per_id.score","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high","quid_bf","pbt.low","pbt.high","pbt.MAP"
"158","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"254",0.484,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"159","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"255",0.384,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"160","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"256",0.316,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"161","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"257",0.772,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"162","Chien_et_al._2022_2A",0.4443,0.534583333333333,"1",0.998,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"163","Chien_et_al._2022_2A",0.4443,0.534583333333333,"12",0.432,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"164","Chien_et_al._2022_2A",0.4443,0.534583333333333,"13",0.748,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"165","Chien_et_al._2022_2A",0.4443,0.534583333333333,"14",0.046,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"166","Chien_et_al._2022_2A",0.4443,0.534583333333333,"15",0.64,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"167","Chien_et_al._2022_2A",0.4443,0.534583333333333,"16",0.034,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"168","Chien_et_al._2022_2A",0.4443,0.534583333333333,"18",0.562,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"169","Chien_et_al._2022_2A",0.4443,0.534583333333333,"20",0.046,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"170","Chien_et_al._2022_2A",0.4443,0.534583333333333,"21",0.176,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"171","Chien_et_al._2022_2A",0.4443,0.534583333333333,"22",0.55,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"172","Chien_et_al._2022_2A",0.4443,0.534583333333333,"24",0.932,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"173","Chien_et_al._2022_2A",0.4443,0.534583333333333,"25",0.648,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"174","Chien_et_al._2022_2A",0.4443,0.534583333333333,"28",0.198,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"175","Chien_et_al._2022_2A",0.4443,0.534583333333333,"29",0.29,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"176","Chien_et_al._2022_2A",0.4443,0.534583333333333,"3",0.542,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"177","Chien_et_al._2022_2A",0.4443,0.534583333333333,"30",0.944,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"178","Chien_et_al._2022_2A",0.4443,0.534583333333333,"32",0.868,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"179","Chien_et_al._2022_2A",0.4443,0.534583333333333,"33",0.054,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"180","Chien_et_al._2022_2A",0.4443,0.534583333333333,"35",0.52,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"181","Chien_et_al._2022_2A",0.4443,0.534583333333333,"37",0.902,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"182","Chien_et_al._2022_2A",0.4443,0.534583333333333,"5",0.308,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"183","Chien_et_al._2022_2A",0.4443,0.534583333333333,"6",0.58,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"184","Chien_et_al._2022_2A",0.4443,0.534583333333333,"8",0.822,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"185","Chien_et_al._2022_2A",0.4443,0.534583333333333,"9",0.99,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"186","Chien_et_al._2022_2B",0.1117,0.571826086956522,"1",0.132,-9.01573346295107,0.173,-21.0727146542569,4.22563097409289,8.54894838360363,0,0.157915031397081,0
"187","Chien_et_al._2022_2B",0.1117,0.571826086956522,"10",0.06,-9.01573346295107,0.173,-21.0727146542569,4.22563097409289,8.54894838360363,0,0.157915031397081,0
"188","Chien_et_al._2022_2B",0.1117,0.571826086956522,"11",0.714,-9.01573346295107,0.173,-21.0727146542569,4.22563097409289,8.54894838360363,0,0.157915031397081,0
"189","Chien_et_al._2022_2B",0.1117,0.571826086956522,"14",0.694,-9.01573346295107,0.173,-21.0727146542569,4.22563097409289,8.54894838360363,0,0.157915031397081,0
"190","Chien_et_al._2022_2B",0.1117,0.571826086956522,"15",0.414,-9.01573346295107,0.173,-21.0727146542569,4.22563097409289,8.54894838360363,0,0.157915031397081,0
"191","Chien_et_al._2022_2B",0.1117,0.571826086956522,"17",0.696,-9.01573346295107,0.173,-21.0727146542569,4.22563097409289,8.54894838360363,0,0.157915031397081,0
"192","Chien_et_al._2022_2B",0.1117,0.571826086956522,"18",0.3,-9.01573346295107,0.173,-21.0727146542569,4.22563097409289,8.54894838360363,0,0.157915031397081,0
"193","Chien_et_al._2022_2B",0.1117,0.571826086956522,"19",0.748,-9.01573346295107,0.173,-21.0727146542569,4.22563097409289,8.54894838360363,0,0.157915031397081,0
"194","Chien_et_al._2022_2B",0.1117,0.571826086956522,"21",0.77,-9.01573346295107,0.173,-21.0727146542569,4.22563097409289,8.54894838360363,0,0.157915031397081,0
"195","Chien_et_al._2022_2B",0.1117,0.571826086956522,"22",0.738,-9.01573346295107,0.173,-21.0727146542569,4.22563097409289,8.54894838360363,0,0.157915031397081,0
